A	หมวดงานวิศวกรรมโครงสร้าง
A1	งานดิน หิน ทราย และฐานราก	A
A1000	ขุดดินฐานรากและถมกลับ	A1
A1000.1	งานขุดดินฐานราก (Foundation Excavation)	A1000
A1000.2	งานดินถมกลับ (Backfill)	A1000
A1000.2.1	งานดินถมกลับ (ดินลูกรัง) - บดอัดด้วยแรงงานคน	A1000.2
A1000.2.2	งานดินถมกลับ (ดินลูกรัง) - บดอัดด้วยเครื่องจักร	A1000.2
A1001	งานวัสดุรองก้นฐานราก	A1
A1001.1	ทรายหยาบรองก้นฐานราก (Coarse Sand Bedding)	A1001
A1001.1.1	ทรายหยาบรองก้นฐานราก - บดอัดด้วยแรงงานคน	A1001.1
A1001.1.2	ทรายหยาบรองก้นฐานราก - บดอัดด้วยเครื่องจักร	A1001.1
A1001.2	คอนกรีตหยาบรองก้นฐานราก 1:3:5 (ประเภท 1) (Lean Concrete)	A1001
A2	งานเสาเข็ม	A
A2000	เสาเข็มคอนกรีตอัดแรง (คอร.)	A2
A2000.1	เสาเข็ม คอร. สี่เหลี่ยมตัน	A2000
A2000.1.1	เสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.13 x 0.13 ม.	A2000.1
A2000.1.2	เสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.15 x 0.15 ม.	A2000.1
A2000.1.3	เสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.18 x 0.18 ม.	A2000.1
A2000.1.4	เสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.22 x 0.22 ม.	A2000.1
A2000.1.5	เสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.26 x 0.26 ม.	A2000.1
A2000.1.6	เสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.30 x 0.30 ม.	A2000.1
A2000.1.7	เสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.35 x 0.35 ม.	A2000.1
A2000.1.8	เสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.40 x 0.40 ม.	A2000.1
A2000.2	เสาเข็ม คอร. รูปตัวไอ	A2000
A2000.2.1	เสาเข็ม คอร. รูปตัวไอ ขนาด 0.12 x 0.12 ม.	A2000.2
A2000.2.2	เสาเข็ม คอร. รูปตัวไอ ขนาด 0.15 x 0.15 ม.	A2000.2
A2000.2.3	เสาเข็ม คอร. รูปตัวไอ ขนาด 0.18 x 0.18 ม.	A2000.2
A2000.2.4	เสาเข็ม คอร. รูปตัวไอ ขนาด 0.22 x 0.22 ม.	A2000.2
A2000.2.5	เสาเข็ม คอร. รูปตัวไอ ขนาด 0.26 x 0.26 ม.	A2000.2
A2000.2.6	เสาเข็ม คอร. รูปตัวไอ ขนาด 0.30 x 0.30 ม.	A2000.2
A2000.2.7	เสาเข็ม คอร. รูปตัวไอ ขนาด 0.35 x 0.35 ม.	A2000.2
A2000.2.8	เสาเข็ม คอร. รูปตัวไอ ขนาด 0.40 x 0.40 ม.	A2000.2
A2000.2.9	เสาเข็ม คอร. รูปตัวไอ ขนาด 0.45 x 0.45 ม.	A2000.2
A2000.3	เสาเข็มรูปกลมกลวง (แบบแรงเหวี่ยง)	A2000
A2000.3.1	เสาเข็มรูปกลมกลวง ขนาด Ø 0.20 ม.	A2000.3
A2000.3.2	เสาเข็มรูปกลมกลวง ขนาด Ø 0.25 ม.	A2000.3
A2000.3.3	เสาเข็มรูปกลมกลวง ขนาด Ø 0.30 ม.	A2000.3
A2000.3.4	เสาเข็มรูปกลมกลวง ขนาด Ø 0.35 ม.	A2000.3
A2000.3.5	เสาเข็มรูปกลมกลวง ขนาด Ø 0.40 ม.	A2000.3
A2000.3.6	เสาเข็มรูปกลมกลวง ขนาด Ø 0.45 ม.	A2000.3
A2000.3.7	เสาเข็มรูปกลมกลวง ขนาด Ø 0.50 ม.	A2000.3
A2000.3.8	เสาเข็มรูปกลมกลวง ขนาด Ø 0.60 ม.	A2000.3
A2000.3.9	เสาเข็มรูปกลมกลวง ขนาด Ø 0.80 ม.	A2000.3
A2001	เสาเข็มเจาะ	A2
A2001.1	เสาเข็มเจาะ ขนาด Ø 0.30 ม. (6 เส้น 12 มม. ป.@0.15)	A2001
A2001.2	เสาเข็มเจาะ ขนาด Ø 0.35 ม. (6 เส้น 12 มม. ป.@0.15)	A2001
A2001.3	เสาเข็มเจาะ ขนาด Ø 0.40 ม. (6 เส้น 12 มม. ป.@0.15)	A2001
A2001.4	เสาเข็มเจาะ ขนาด Ø 0.50 ม. (9 เส้น 12 มม. ป.@0.15)	A2001
A2001.5	เสาเข็มเจาะ ขนาด Ø 0.60 ม. (8 เส้น 16 มม. ป.@0.15)	A2001
A2002	ค่าเครื่องจักรเจาะนำ ค่าสกัดหัวเสาเข็มและค่าการทดสอบทางวิศวกรรม	A2
A2002.1	ค่าเครื่องจักร เสาเข็มเจาะนำ (Pre-Bore) รวมค่าแรง	A2002
A2002.2	ค่าสกัดหัวเสาเข็ม	A2002
A2002.2.1	เสาเข็มเจาะ	A2002.2
A2002.2.1.1	ค่าสกัดหัวเสาเข็มเจาะ ขนาด Ø 0.30 ม.	A2002.2.1
A2002.2.1.2	ค่าสกัดหัวเสาเข็มเจาะ ขนาด Ø 0.35 ม.	A2002.2.1
A2002.2.1.3	ค่าสกัดหัวเสาเข็มเจาะ ขนาด Ø 0.40 ม.	A2002.2.1
A2002.2.1.4	ค่าสกัดหัวเสาเข็มเจาะ ขนาด Ø 0.50 ม.	A2002.2.1
A2002.2.1.5	ค่าสกัดหัวเสาเข็มเจาะ ขนาด Ø 0.60 ม.	A2002.2.1
A2002.2.1.6	ค่าสกัดหัวเสาเข็มเจาะ ขนาด Ø 0.80 ม.	A2002.2.1
A2002.2.1.7	ค่าสกัดหัวเสาเข็มเจาะ ขนาด Ø 1.00 ม.	A2002.2.1
A2002.2.2	เสาเข็ม คอร. รูปตัวไอ	A2002.2
A2002.2.2.1	ค่าสกัดหัวเสาเข็ม คอร. รูปตัวไอ ขนาด 0.12 x 0.12 ม.	A2002.2.2
A2002.2.2.2	ค่าสกัดหัวเสาเข็ม คอร. รูปตัวไอ ขนาด 0.15 x 0.15 ม.	A2002.2.2
A2002.2.2.3	ค่าสกัดหัวเสาเข็ม คอร. รูปตัวไอ ขนาด 0.18 x 0.18 ม.	A2002.2.2
A2002.2.2.4	ค่าสกัดหัวเสาเข็ม คอร. รูปตัวไอ ขนาด 0.22 x 0.22 ม.	A2002.2.2
A2002.2.2.5	ค่าสกัดหัวเสาเข็ม คอร. รูปตัวไอ ขนาด 0.26 x 0.26 ม.	A2002.2.2
A2002.2.2.6	ค่าสกัดหัวเสาเข็ม คอร. รูปตัวไอ ขนาด 0.30 x 0.30 ม.	A2002.2.2
A2002.2.2.7	ค่าสกัดหัวเสาเข็ม คอร. รูปตัวไอ ขนาด 0.35 x 0.35 ม.	A2002.2.2
A2002.2.2.8	ค่าสกัดหัวเสาเข็ม คอร. รูปตัวไอ ขนาด 0.40 x 0.40 ม.	A2002.2.2
A2002.2.2.9	ค่าสกัดหัวเสาเข็ม คอร. รูปตัวไอ ขนาด 0.45 x 0.45 ม.	A2002.2.2
A2002.2.3	เสาเข็ม คอร. สี่เหลี่ยมตัน	A2002.2
A2002.2.3.1	ค่าสกัดหัวเสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.13 x 0.13 ม.	A2002.2.3
A2002.2.3.2	ค่าสกัดหัวเสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.15 x 0.15 ม.	A2002.2.3
A2002.2.3.3	ค่าสกัดหัวเสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.18 x 0.18 ม.	A2002.2.3
A2002.2.3.4	ค่าสกัดหัวเสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.22 x 0.22 ม.	A2002.2.3
A2002.2.3.5	ค่าสกัดหัวเสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.26 x 0.26 ม.	A2002.2.3
A2002.2.3.6	ค่าสกัดหัวเสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.30 x 0.30 ม.	A2002.2.3
A2002.2.3.7	ค่าสกัดหัวเสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.35 x 0.35 ม.	A2002.2.3
A2002.2.3.8	ค่าสกัดหัวเสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.40 x 0.40 ม.	A2002.2.3
A2002.2.4	เสาเข็ม คอร. รูปกลมกลวง	A2002.2
A2002.2.4.1	ค่าสกัดหัวเสาเข็มรูปกลมกลวง ขนาด Ø 0.20 ม.	A2002.2.4
