Keynote,Description,RSB_MaterialUnitCost,RSB_LabourUnitCost,RSB_LossPercentage,Level,ParentKeynote
A,หมวดงานวิศวกรรมโครงสร้าง,,,,1,
A1,งานดิน หิน ทราย และฐานราก,,,,2,A
A1000,ขุดดินฐานรากและถมกลับ,,,,3,A1
A1000.1,งานขุดดินฐานราก (Foundation Excavation),0,150,30,4,A1000
A1000.2,งานดินถมกลับ (Backfill),0,150,30,4,A1000
A1000.2.1,งานดินถมกลับ (ดินลูกรัง) - บดอัดด้วยแรงงานคน,450,150,30,5,A1000.2
A1000.2.2,งานดินถมกลับ (ดินลูกรัง) - บดอัดด้วยเครื่องจักร,450,150,60,5,A1000.2
A1001,งานวัสดุรองก้นฐานราก,,,,3,A1
A1001.1,ทรายหยาบรองก้นฐานราก (Coarse Sand Bedding),600,250,30,4,A1001
A1001.1.1,ทรายหยาบรองก้นฐานราก - บดอัดด้วยแรงงานคน,600,250,30,5,A1001.1
A1001.1.2,ทรายหยาบรองก้นฐานราก - บดอัดด้วยเครื่องจักร,600,250,30,5,A1001.1
A1001.2,คอนกรีตหยาบรองก้นฐานราก 1:3:5 (ประเภท 1) (Lean Concrete),2000,500,10,4,A1001
A2,งานเสาเข็ม,,,,2,A
A2000,เสาเข็มคอนกรีตอัดแรง (คอร.),,,,3,A2
A2000.1,เสาเข็ม คอร. สี่เหลี่ยมตัน,,,,4,A2000
A2000.1.1,เสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.13 x 0.13 ม.,100,60,0,5,A2000.1
A2000.1.2,เสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.15 x 0.15 ม.,190,60,0,5,A2000.1
A2000.1.3,เสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.18 x 0.18 ม.,240,70,0,5,A2000.1
A2000.1.4,เสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.22 x 0.22 ม.,310,70,0,5,A2000.1
A2000.1.5,เสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.26 x 0.26 ม.,380,75,0,5,A2000.1
A2000.1.6,เสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.30 x 0.30 ม.,460,80,0,5,A2000.1
A2000.1.7,เสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.35 x 0.35 ม.,580,85,0,5,A2000.1
A2000.1.8,เสาเข็ม คอร. สี่เหลี่ยมตัน ขนาด 0.40 x 0.40 ม.,720,90,0,5,A2000.1
A2000.2,เสาเข็ม คอร. รูปตัวไอ,,,,4,A2000
A2000.2.1,เสาเข็ม คอร. รูปตัวไอ ขนาด 0.12 x 0.12 ม.,95,65,0,5,A2000.2
A2000.2.2,เสาเข็ม คอร. รูปตัวไอ ขนาด 0.15 x 0.15 ม.,125,65,0,5,A2000.2
A2000.2.3,เสาเข็ม คอร. รูปตัวไอ ขนาด 0.18 x 0.18 ม.,165,70,0,5,A2000.2
A2000.2.4,เสาเข็ม คอร. รูปตัวไอ ขนาด 0.22 x 0.22 ม.,270,70,0,5,A2000.2
A2000.2.5,เสาเข็ม คอร. รูปตัวไอ ขนาด 0.26 x 0.26 ม.,330,75,0,5,A2000.2
A2000.2.6,เสาเข็ม คอร. รูปตัวไอ ขนาด 0.30 x 0.30 ม.,400,80,0,5,A2000.2
A2000.2.7,เสาเข็ม คอร. รูปตัวไอ ขนาด 0.35 x 0.35 ม.,490,85,0,5,A2000.2
