Keynote,Description,Level,ParentKeynote
A,หมวดงานวิศวกรรมโครงสร้าง,1,
B,งานสถาปัตยกรรม,1,
C,หมวดงานระบบไฟฟ้า,1,
D,หมวดงานระบบสุขาภิบาล,1,
E,หมวดงานระบบปรับอากาศและระบายอากาศ,1,
F,หมวดงานทั่วไป,1,
A1,งานดิน หิน ทราย และฐานราก,2,A
A2,งานเสาเข็ม,2,A
A3,งานคอนกรีตโครงสร้าง,2,A
A4,งานแบบหล่อคอนกรีต,2,A
A5,งานเหล็กเสริมคอนกรีต,2,A
A6,งานโครงสร้างคอนกรีตสำเร็จรูป,2,A
A7,งานโครงสร้างเหล็กรูปพรรณ,2,A
A8,งานโครงสร้างไม้,2,A
A9,งานโครงสร้างหลังคา,2,A
B1,งานผนังและผิวผนัง,2,B
B10,งานเบ็ดเตล็ด,2,B
B2,งานพื้นและผิวพื้น,2,B
B3,งานฝ้าเพดาน,2,B
B4,งานติดตั้งวงกบ บานประตู-หน้าต่าง,2,B
B5,งานติดตั้งสุขภัณฑ์,2,B
B6,งานทาสี,2,B
B7,งานบันได,2,B
B8,งานราวกันตก,2,B
B9,งานมุงหลังคา,2,B
C1,งานไฟฟ้ากำลัง (Power System),2,C
C2,งานไฟฟ้าแสงสว่าง (Lighting System),2,C
C3,งานกล้องวงจรปิด (CCTV System),2,C
C4,งานสัญญาณอินเทอร์เน็ต / โทรศัพท์ / ทีวี (Communication System),2,C
D1,งานท่อน้ำดี (Cold / Hot Water Supply),2,D
D2,งานท่อน้ำเสีย (Drainage / Waste / Vent),2,D
D3,งานถังเก็บน้ำ / ถังบำบัด (Water Tank / Wastewater Treatment),2,D
E1,เครื่องปรับอากาศ (Air Conditioning System),2,E
E2,เครื่องระบายอากาศ (Ventilation System),2,E
F1,เตรียมงานและอำนวยการ (Site Preparation & Management),2,F
F2,งานดิน (Earth Work),2,F
